starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 02 20:39:46 2013	1357184386	1	89	90	88
Wed Jan 02 20:39:59 2013	1357184399	1	89	90	88
Wed Jan 02 20:40:25 2013	1357184425	1	89	90	88
Wed Jan 02 20:40:13 2013	1357184413	1	89	90	88
Wed Jan 02 20:39:43 2013	1357184383	1	89	90	89
Wed Jan 02 20:40:02 2013	1357184402	1	89	90	89
Wed Jan 02 20:39:43 2013	1357184383	1	90	90	89
Wed Jan 02 20:39:55 2013	1357184395	1	90	90	89
Wed Jan 02 20:39:48 2013	1357184388	1	90	91	89
Wed Jan 02 20:40:12 2013	1357184412	1	90	91	89
Wed Jan 02 20:40:08 2013	1357184408	1	90	91	89
Wed Jan 02 20:40:07 2013	1357184407	1	90	91	89
Wed Jan 02 20:39:51 2013	1357184391	1	90	91	89
Wed Jan 02 20:40:15 2013	1357184415	1	90	91	89
Wed Jan 02 20:40:41 2013	1357184441	1	90	91	89
Wed Jan 02 20:40:24 2013	1357184424	1	90	91	89
Wed Jan 02 20:39:50 2013	1357184390	1	90	91	89
Wed Jan 02 20:40:27 2013	1357184427	1	90	91	89
Wed Jan 02 20:40:09 2013	1357184409	1	90	91	89
Wed Jan 02 20:40:21 2013	1357184421	1	90	91	89
Wed Jan 02 20:39:54 2013	1357184394	1	90	91	89
Wed Jan 02 20:40:03 2013	1357184403	1	90	91	89
Wed Jan 02 20:39:39 2013	1357184379	1	90	91	89
Wed Jan 02 20:40:00 2013	1357184400	1	90	91	89
Wed Jan 02 20:39:47 2013	1357184387	1	90	91	89
Wed Jan 02 20:40:21 2013	1357184421	1	90	91	89
Wed Jan 02 20:39:42 2013	1357184382	1	90	91	89
Wed Jan 02 20:40:26 2013	1357184426	1	90	91	89
Wed Jan 02 20:39:56 2013	1357184396	1	90	91	89
Wed Jan 02 20:40:36 2013	1357184436	1	90	91	89
Wed Jan 02 20:40:18 2013	1357184418	1	90	91	89
Wed Jan 02 20:40:14 2013	1357184414	1	90	91	89
Wed Jan 02 20:39:58 2013	1357184398	1	90	91	89
Wed Jan 02 20:39:44 2013	1357184384	1	90	91	89
Wed Jan 02 20:40:19 2013	1357184419	1	90	91	89
Wed Jan 02 20:40:37 2013	1357184437	1	90	91	90
Wed Jan 02 20:40:01 2013	1357184401	1	90	91	89
Wed Jan 02 20:40:16 2013	1357184416	1	90	91	89
Wed Jan 02 20:40:35 2013	1357184435	1	90	91	89
Wed Jan 02 20:40:38 2013	1357184438	1	90	91	90
Wed Jan 02 20:40:20 2013	1357184420	1	90	91	90
Wed Jan 02 20:40:22 2013	1357184422	1	90	91	90
Wed Jan 02 20:39:56 2013	1357184396	1	90	91	90
Wed Jan 02 20:40:46 2013	1357184446	1	90	91	90
Wed Jan 02 20:40:38 2013	1357184438	1	91	91	90
Wed Jan 02 20:39:57 2013	1357184397	1	91	91	90
Wed Jan 02 20:40:32 2013	1357184432	1	91	91	90
Wed Jan 02 20:40:43 2013	1357184443	1	91	91	90
Wed Jan 02 20:40:44 2013	1357184444	1	91	91	90
Wed Jan 02 20:39:53 2013	1357184393	1	91	91	90
Wed Jan 02 20:39:49 2013	1357184389	1	91	92	90
Wed Jan 02 20:40:34 2013	1357184434	1	91	92	90
Wed Jan 02 20:40:23 2013	1357184423	1	91	92	90
Wed Jan 02 20:39:45 2013	1357184385	1	91	92	90
Wed Jan 02 20:40:39 2013	1357184439	1	91	92	90
Wed Jan 02 20:40:10 2013	1357184410	1	91	92	90
Wed Jan 02 20:40:40 2013	1357184440	1	91	92	90
Wed Jan 02 20:40:33 2013	1357184433	1	91	92	91
Wed Jan 02 20:39:38 2013	1357184378	1	91	92	91
Wed Jan 02 20:39:41 2013	1357184381	1	91	92	91
Wed Jan 02 20:40:28 2013	1357184428	1	92	92	91
Wed Jan 02 20:40:42 2013	1357184442	1	91	92	91
Wed Jan 02 20:40:47 2013	1357184447	1	92	92	91
Wed Jan 02 20:40:11 2013	1357184411	1	92	92	91
Wed Jan 02 20:40:06 2013	1357184406	1	92	92	91
Wed Jan 02 20:39:52 2013	1357184392	1	92	93	91
Wed Jan 02 20:40:09 2013	1357184409	1	92	93	91
Wed Jan 02 20:40:17 2013	1357184417	1	92	93	91
Wed Jan 02 20:40:05 2013	1357184405	1	92	93	91
Wed Jan 02 20:40:45 2013	1357184445	1	92	93	91
Wed Jan 02 20:39:40 2013	1357184380	1	93	94	92
Wed Jan 02 20:40:04 2013	1357184404	1	94	95	94
Wed Jan 02 20:39:37 2013	1357184377	1	95	96	94
Wed Jan 02 20:39:35 2013	1357184375	1	96	96	95
Wed Jan 02 20:40:31 2013	1357184431	1	96	97	95
Wed Jan 02 20:40:30 2013	1357184430	1	102	103	101
Wed Jan 02 20:40:29 2013	1357184429	1	102	103	102
Wed Jan 02 20:40:25 2013	1357184425	1	106	107	105
Wed Jan 02 20:39:43 2013	1357184383	1	106	107	105
Wed Jan 02 20:39:46 2013	1357184386	1	106	107	105
Wed Jan 02 20:40:13 2013	1357184413	1	106	107	105
Wed Jan 02 20:39:55 2013	1357184395	1	106	107	105
Wed Jan 02 20:40:41 2013	1357184441	1	106	107	105
Wed Jan 02 20:39:59 2013	1357184399	1	106	107	105
Wed Jan 02 20:39:39 2013	1357184379	1	106	107	105
Wed Jan 02 20:39:43 2013	1357184383	1	106	107	105
Wed Jan 02 20:39:51 2013	1357184391	1	106	107	106
Wed Jan 02 20:39:50 2013	1357184390	1	106	107	105
Wed Jan 02 20:40:08 2013	1357184408	1	106	107	106
Wed Jan 02 20:40:21 2013	1357184421	1	106	107	105
Wed Jan 02 20:40:09 2013	1357184409	1	107	107	106
Wed Jan 02 20:39:42 2013	1357184382	1	107	107	106
Wed Jan 02 20:39:48 2013	1357184388	1	107	107	106
Wed Jan 02 20:39:44 2013	1357184384	1	107	107	106
Wed Jan 02 20:40:21 2013	1357184421	1	107	107	106
Wed Jan 02 20:40:02 2013	1357184402	1	107	107	106
Wed Jan 02 20:40:01 2013	1357184401	1	107	108	106
Wed Jan 02 20:40:15 2013	1357184415	1	107	108	106
Wed Jan 02 20:40:00 2013	1357184400	1	107	108	106
Wed Jan 02 20:40:12 2013	1357184412	1	107	108	106
Wed Jan 02 20:40:24 2013	1357184424	1	107	108	106
Wed Jan 02 20:39:56 2013	1357184396	1	107	108	106
Wed Jan 02 20:40:35 2013	1357184435	1	107	108	106
Wed Jan 02 20:40:03 2013	1357184403	1	107	108	106
Wed Jan 02 20:40:26 2013	1357184426	1	107	108	106
Wed Jan 02 20:39:54 2013	1357184394	1	107	108	106
Wed Jan 02 20:39:57 2013	1357184397	1	107	108	106
Wed Jan 02 20:40:36 2013	1357184436	1	107	108	106
Wed Jan 02 20:39:56 2013	1357184396	1	107	108	106
Wed Jan 02 20:39:47 2013	1357184387	1	107	108	106
Wed Jan 02 20:39:58 2013	1357184398	1	107	108	106
Wed Jan 02 20:40:14 2013	1357184414	1	107	108	106
Wed Jan 02 20:40:19 2013	1357184419	1	107	108	106
Wed Jan 02 20:40:37 2013	1357184437	1	107	108	106
Wed Jan 02 20:40:22 2013	1357184422	1	107	108	106
Wed Jan 02 20:40:20 2013	1357184420	1	107	108	106
Wed Jan 02 20:40:46 2013	1357184446	1	107	108	106
Wed Jan 02 20:39:49 2013	1357184389	1	107	108	106
Wed Jan 02 20:40:32 2013	1357184432	1	107	108	106
Wed Jan 02 20:40:27 2013	1357184427	1	107	108	106
